,Word,POS,Sentiment
314,amiabily,adverb,positive
315,amiable,adj,positive
316,amicability,noun,positive
317,amicable,adj,positive
318,amicably,adverb,positive
319,amiss,anypos,negative
320,amity,adj,positive
321,amity,noun,positive
322,amnesty,noun,positive
323,amour,noun,positive
324,ample,adj,positive
325,amply,adverb,positive
326,amplify,verb,neutral
327,amputate,verb,negative
328,amuse,verb,positive
329,amusement,adj,positive
330,amusement,noun,positive
331,amusing,adj,positive
332,amusing,anypos,positive
333,amusingly,anypos,positive
334,analytical,adj,neutral
335,anarchism,noun,negative
336,anarchist,noun,negative
337,anarchistic,adj,negative
338,anarchy,noun,negative
339,anemic,adj,negative
340,angel,noun,positive
341,angelic,adj,positive
342,anger,adj,negative
343,anger,noun,negative
344,anger,verb,negative
345,angrily,anypos,negative
346,angriness,anypos,negative
347,angry,adj,negative
348,anguish,noun,negative
349,anguish,verb,negative
350,annihilate,verb,negative
351,annihilation,noun,negative
352,animated,adj,positive
353,animosity,noun,negative
354,annoy,verb,negative
355,annoyance,noun,negative
356,annoyed,adj,negative
357,annoying,adj,negative
358,annoying,anypos,negative
359,annoyingly,anypos,negative
360,anomalous,adj,negative
361,anomaly,noun,negative
362,antagonism,noun,negative
363,antagonist,noun,negative
364,antagonistic,adj,negative
365,antagonize,verb,negative
366,anti-,noun,negative
367,anti-American,adj,negative
368,anti-American,noun,negative
369,anti-Israeli,adj,negative
370,anti-Israeli,noun,negative
371,anti-Semites,adj,negative
372,anti-Semites,noun,negative
373,anti-US,adj,negative
374,anti-US,noun,negative
375,anti-occupation,adj,negative
376,anti-occupation,noun,negative
377,anti-proliferation,adj,negative
378,anti-proliferation,noun,negative
379,anti-social,adj,negative
380,anti-white,adj,negative
381,anti-white,noun,negative
382,antipathy,noun,negative
383,antiquated,adj,negative
384,antithetical,adj,negative
385,antithetical,noun,negative
386,anxieties,noun,negative
387,anxiety,noun,negative
388,anxious,anypos,negative
389,anxiously,anypos,negative
390,anxiousness,noun,negative
391,anyhow,anypos,neutral
392,anyway,anypos,neutral
393,anyways,anypos,neutral
394,apathetic,adj,negative
395,apathetic,noun,negative
396,apathetically,adverb,negative
397,apathy,noun,negative
398,ape,verb,negative
399,apocalypse,noun,negative
400,apocalyptic,adj,negative
401,apologist,adj,negative
402,apologist,noun,negative
403,apologists,adj,negative
404,apologists,noun,negative
405,apostle,adj,positive
406,apostle,noun,positive
407,apotheosis,adj,positive
408,apotheosis,noun,positive
409,appal,verb,negative
410,appall,adj,negative
411,appall,anypos,negative
412,appall,verb,negative
413,appalled,adj,negative
414,appalling,adj,negative
415,appallingly,anypos,negative
416,apparent,anypos,neutral
417,apparently,anypos,neutral
418,appeal,adj,positive
419,appeal,noun,positive
420,appeal,verb,positive
421,appealing,adj,positive
422,appear,anypos,neutral
423,appearance,adj,neutral
424,appearance,noun,neutral
425,appease,verb,positive
426,applaud,verb,positive
427,appreciable,adj,positive
428,appreciate,verb,positive
429,appreciation,adj,positive
430,appreciation,noun,positive
431,appreciative,anypos,positive
432,appreciatively,anypos,positive
433,appreciativeness,anypos,positive
434,apprehend,verb,neutral
435,apprehension,noun,negative
436,apprehensions,adj,negative
437,apprehensions,noun,negative
438,apprehensive,adj,negative
439,apprehensive,noun,negative
440,apprehensively,anypos,negative
441,appropriate,adj,positive
442,approval,noun,positive
443,approve,verb,positive
444,apt,adj,positive
445,aptly,adverb,positive
446,aptitude,noun,positive
447,arbitrary,adj,negative
448,arcane,adj,negative
449,archaic,adj,negative
450,ardent,adj,positive
451,ardently,anypos,positive
452,ardor,noun,positive
453,arduous,adj,negative
454,arduously,anypos,negative
455,aristocratic,adj,positive
456,argue,verb,negative
457,argument,adj,negative
458,argument,noun,negative
459,argumentative,anypos,negative
460,arguments,adj,negative
461,arguments,noun,negative
462,arousal,anypos,positive
463,arouse,verb,positive
464,arousing,anypos,positive
465,arresting,adj,positive
466,arrogance,noun,negative
467,arrogant,adj,negative
468,arrogant,anypos,negative
469,arrogantly,anypos,negative
470,arrogantly,anypos,negative
471,articulate,adj,positive
472,artificial,adj,negative
473,ascendant,adj,positive
474,ascendant,noun,positive
475,ascertainable,adj,positive
476,ascertainable,noun,positive
477,ashamed,adj,negative
478,asinine,adj,negative
479,asininely,adverb,negative
480,asinininity,noun,negative
481,askance,adverb,negative
482,asperse,verb,negative
483,aspersion,noun,negative
484,aspersions,noun,negative
485,aspiration,noun,positive
486,aspirations,adj,positive
487,aspirations,noun,positive
488,aspire,verb,positive
489,assail,verb,negative
490,assassinate,verb,negative
491,assassin,noun,negative
492,assault,adj,negative
493,assault,noun,negative
494,assent,verb,positive
495,assertions,adj,positive
496,assertions,noun,positive
497,assertive,adj,positive
498,assess,verb,neutral
499,assessment,adj,neutral
500,assessment,noun,neutral
501,assessments,adj,neutral
502,assessments,noun,neutral
503,asset,noun,positive
504,assiduous,adj,positive
505,assiduously,adverb,positive
506,assuage,verb,positive
507,assumption,adj,neutral
508,assumption,noun,neutral
509,assurance,adj,positive
510,assurance,noun,positive
511,assurances,adj,positive
512,assurances,noun,positive
513,assure,verb,positive
514,assuredly,anypos,positive
515,astonish,verb,positive
516,astonished,adj,positive
517,astonishing,adj,positive
518,astonishing,anypos,positive
519,astonishingly,anypos,positive
520,astonishment,noun,positive
521,astound,verb,positive
522,astounded,adj,positive
523,astounding,adj,positive
524,astounding,anypos,positive
525,astounding,anypos,positive
526,astoundingly,anypos,positive
527,astray,adj,negative
528,astronomic,adj,neutral
529,astronomical,adj,neutral
530,astronomically,anypos,neutral
531,astute,adj,positive
532,astutely,adverb,positive
533,asunder,anypos,negative
534,asylum,adj,positive
535,asylum,noun,positive
536,atrocious,adj,negative
537,atrocities,noun,negative
538,atrocity,noun,negative
539,atrophy,verb,negative
540,attack,noun,negative
541,attack,verb,negative
542,attain,verb,positive
543,attainable,adj,positive
544,attentive,adj,positive
545,attest,verb,positive
546,attitude,adj,neutral
547,attitude,noun,neutral
548,attitudes,adj,neutral
549,attitudes,noun,neutral
550,attraction,adj,positive
551,attraction,noun,positive
552,attractive,adj,positive
553,attractive,noun,positive
554,attractively,anypos,positive
555,attune,adj,positive
556,audacious,adj,negative
557,audaciously,anypos,negative
558,audaciousness,noun,negative
559,audacity,noun,negative
560,auspicious,adj,positive
561,austere,adj,negative
562,authentic,adj,positive
563,authoritarian,adj,negative
564,authoritative,adj,positive
565,autocrat,noun,negative
566,autocratic,adj,negative
567,award,adj,positive
568,award,verb,positive
569,awareness,noun,neutral
570,aware,adj,neutral
571,autocratic,adj,negative
572,autocratic,noun,negative
573,autonomous,adj,positive
574,avalanche,adj,negative
575,avalanche,noun,negative
576,avarice,noun,negative
577,avaricious,adj,negative
578,avariciously,adj,negative
579,avenge,verb,negative
580,aver,verb,positive
581,averse,anypos,negative
582,aversion,noun,negative
583,avid,adj,positive
584,avidly,anypos,positive
585,avoid,verb,negative
586,avoidance,noun,negative
587,awe,noun,positive
588,awe,verb,positive
589,awed,adj,positive
590,awesome,adj,positive
591,awesome,anypos,positive
592,awesomely,anypos,positive
593,awesomeness,noun,positive
594,awestruck,adj,positive
595,awful,adj,negative
596,awful,anypos,negative
597,awfully,anypos,negative
598,awfulness,anypos,negative
599,awfulness,noun,negative
600,awkward,adj,negative
601,awkwardness,noun,negative
602,ax,verb,negative
603,babble,verb,negative
604,baby,adj,neutral
605,baby,noun,neutral
606,back,verb,positive
607,backbite,verb,negative
608,backbiting,anypos,negative
609,backbone,noun,positive
610,backward,adj,negative
611,backwardness,noun,negative
612,bad,adj,negative
613,badly,adj,negative
614,baffle,verb,negative
615,baffled,adj,negative
616,bafflement,noun,negative
617,baffling,anypos,negative
618,bait,verb,negative
619,balanced,adj,positive
620,balk,verb,negative
621,banal,adj,negative
622,banal,anypos,negative
623,banalize,verb,negative
624,bane,noun,negative
625,banish,adj,negative
626,banish,verb,negative
627,banishment,noun,negative
628,bankrupt,adj,negative
629,bankrupt,verb,negative
630,bar,verb,negative
631,barbarian,adj,negative
632,barbarian,noun,negative
633,barbaric,adj,negative
634,barbarically,anypos,negative
635,barbarity,adj,negative
636,barbarity,noun,negative
637,barbarous,adj,negative
638,barbarous,anypos,negative
639,barbarously,anypos,negative
640,barely,anypos,negative
641,bargain,noun,positive
642,bargain,adj,positive
643,barren,adj,negative
644,baseless,adj,negative
645,bashful,adj,negative
646,basic,adj,positive
647,basically,anypos,neutral
648,bask,verb,positive
649,bastard,anypos,negative
650,bastard,noun,negative
651,batons,adj,neutral
652,batons,noun,neutral
653,battered,adj,negative
654,battering,adj,negative
655,battering,noun,negative
656,battle,verb,negative
657,battle-lines,adj,negative
658,battle-lines,noun,negative
659,battlefield,noun,negative
660,battleground,adj,negative
661,battleground,noun,negative
662,batty,adj,negative
663,beacon,noun,positive
664,bearish,adj,negative
665,beast,adj,negative
666,beast,noun,negative
667,beastly,adj,negative
668,beatify,verb,positive
669,beauteous,adj,positive
670,beautiful,adj,positive
671,beautiful,anypos,positive
672,beautifully,anypos,positive
673,beautify,verb,positive
674,beauty,noun,positive
675,bedlam,noun,negative
676,bedlamite,noun,negative
677,befit,verb,positive
678,befitting,adj,positive
679,befoul,verb,negative
680,befriend,verb,positive
681,beg,verb,negative
682,beggar,noun,negative
683,beggarly,adj,negative
684,begging,adj,negative
685,begging,noun,negative
686,beguile,verb,negative
687,belated,adj,negative
688,belabor,verb,negative
689,beleaguer,verb,negative
690,belie,verb,negative
691,belief,adj,neutral
692,belief,noun,neutral
693,beliefs,adj,neutral
694,beliefs,noun,neutral
695,believable,adj,positive
696,believe,verb,neutral
697,belittle,verb,negative
698,belittled,adj,negative
699,belittling,anypos,negative
700,bellicose,adj,negative
701,bellicose,noun,negative
702,belligerence,noun,negative
703,belligerent,adj,negative
704,belligerent,anypos,negative
705,belligerently,anypos,negative
706,beloved,adj,positive
707,bemoan,verb,negative
708,bemoaning,adj,negative
709,bemused,adj,negative
710,benefactor,noun,positive
711,beneficial,adj,positive
712,beneficent,adj,positive
713,beneficial,anypos,positive
714,beneficially,anypos,positive
715,beneficiary,adj,positive
716,beneficiary,noun,positive
717,benefit,adj,positive
718,benefit,noun,positive
719,benefits,adj,positive
720,benefits,noun,positive
721,benevolence,noun,positive
722,benevolent,adj,positive
723,benign,adj,positive
724,bent,adj,negative
725,berate,verb,negative
726,bereave,verb,negative
727,bereavement,noun,negative
728,bereft,anypos,negative
729,berserk,adj,negative
730,beseech,verb,negative
731,beset,adj,negative
732,besides,anypos,neutral
733,besiege,verb,negative
734,besmirch,verb,negative
735,best,anypos,positive
736,best-known,adj,positive
737,best-performing,adj,positive
738,best-selling,adj,positive
739,bestial,adj,negative
740,betray,verb,negative
741,betrayal,noun,negative
742,betrayals,noun,negative
743,betrayer,noun,negative
744,better,adj,positive
745,better,anypos,positive
746,better-known,adj,positive
747,better-than-expected,adj,positive
748,bewail,verb,negative
749,beware,verb,negative
750,bewilder,verb,negative
751,bewildered,adj,negative
752,bewildering,adj,negative
753,bewildering,anypos,negative
754,bewilderingly,anypos,negative
755,bewilderment,noun,negative
756,bewitch,verb,negative
757,bias,adj,negative
758,bias,noun,negative
759,bias,verb,negative
760,biased,adj,negative
761,biased,noun,negative
762,biases,adj,negative
763,biases,noun,negative
764,bicker,verb,negative
765,bickering,anypos,negative
766,bid-rigging,adj,negative
767,big,adj,neutral
768,bitch,verb,negative
769,bitchy,adj,negative
770,biting,adj,negative
771,bitingly,anypos,negative
772,bitter,adj,negative
773,bitterly,anypos,negative
774,bitterness,noun,negative
775,bizarre,adj,negative
776,blab,verb,negative
777,blabber,verb,negative
778,black,adj,negative
779,blackmail,verb,negative
780,blah,anypos,negative
781,blame,adj,negative
782,blame,noun,negative
783,blame,verb,negative
784,blameless,adj,positive
785,blameworthy,adj,negative
786,bland,adj,negative
787,blandish,verb,negative
788,blaspheme,verb,negative
789,blasphemous,adj,negative
790,blasphemous,anypos,negative
791,blasphemy,noun,negative
792,blast,anypos,negative
793,blasted,anypos,negative
794,blatant,adj,negative
795,blatantly,adj,negative
796,blather,verb,negative
797,bleak,adj,negative
798,bleakly,anypos,negative
799,bleakness,noun,negative
800,bleed,verb,negative
801,blemish,noun,negative
802,blemish,verb,negative
803,bless,verb,positive
804,blessing,adj,positive
805,blessing,noun,positive
806,blind,anypos,negative
807,blinding,adj,negative
808,blinding,anypos,negative
809,blindingly,adj,negative
810,blindness,adj,negative
811,blindside,verb,negative
812,bliss,noun,positive
813,blissful,adj,positive
814,blissfully,adverb,positive
815,blister,verb,negative
816,blistering,adj,negative
817,blithe,adj,positive
818,bloated,adj,negative
819,block,noun,negative
820,block,verb,negative
821,blockhead,adj,negative
822,blood,adj,neutral
823,blood,noun,negative
824,bloodshed,noun,negative
825,bloodthirsty,adj,negative
826,bloody,adj,negative
827,bloom,verb,positive
828,blossom,verb,positive
829,blow,adj,negative
830,blow,noun,negative
831,blunder,adj,negative
832,blunder,noun,negative
833,blundering,anypos,negative
834,blunders,anypos,negative
835,blunt,adj,negative
836,blur,verb,negative
837,blurt,verb,negative
838,boast,verb,positive
839,boast,verb,negative
840,boastful,adj,negative
841,boggle,verb,negative
842,bogus,adj,negative
843,boil,verb,negative
844,boiling,adverb,negative
845,boisterous,adj,negative
846,bold,adj,positive
847,boldly,adverb,positive
848,boldness,noun,positive
849,bolster,verb,positive
850,bombard,verb,negative
851,bomb,verb,negative
852,bombardment,adj,negative
853,bombardment,noun,negative
854,bombastic,adj,negative
855,bondage,noun,negative
856,bonkers,adj,negative
857,bonkers,noun,negative
858,bonny,adj,positive
859,bonus,noun,positive
860,boom,noun,positive
861,booming,adj,positive
862,boost,adj,positive
863,boost,verb,positive
864,bore,verb,negative
865,boredom,noun,negative
866,boring,adj,negative
867,boring,anypos,negative
868,botch,verb,negative
869,bother,noun,negative
870,bother,verb,negative
871,bothersome,adj,negative
872,boundless,adj,positive
873,bountiful,adj,positive
874,bowdlerize,verb,negative
875,boycott,adj,negative
876,boycott,noun,negative
877,brag,noun,both
878,brag,verb,both
879,braggart,anypos,negative
880,braggart,noun,negative
881,bragger,anypos,negative
882,bragger,noun,negative
883,brains,adj,positive
884,brains,noun,positive
885,brainwash,verb,negative
886,brainy,adj,positive
887,brash,adj,negative
888,brashly,anypos,negative
889,brashness,noun,negative
890,brat,noun,negative
891,bravado,noun,negative
892,brave,adj,positive
893,brave,verb,positive
894,bravery,adj,positive
895,bravery,noun,positive
896,brazen,anypos,negative
897,brazenly,anypos,negative
898,brazenly,anypos,negative
899,brazenness,noun,negative
900,brazenness,noun,negative
901,breach,adj,negative
902,breach,noun,negative
903,break,verb,negative
904,break-point,adj,negative
905,break-point,noun,negative
906,breakdown,verb,negative
907,breakthrough,adj,positive
908,breakthrough,noun,positive
909,breakthroughs,adj,positive
910,breakthroughs,noun,positive
911,breathlessness,adj,positive
912,breathlessness,noun,positive
913,breathtaking,adj,positive
914,breathtakingly,anypos,positive
915,bright,adj,positive
916,brighten,anypos,positive
917,brightness,noun,positive
918,brilliance,noun,positive
919,brilliant,adj,positive
920,brilliant,anypos,positive
921,brilliantly,anypos,positive
922,brimstone,adj,negative
923,brimstone,noun,negative
924,brisk,adj,positive
925,bristle,verb,negative
926,brittle,adj,negative
927,broad,adj,positive
928,broad-based,adj,neutral
929,broke,adj,negative
930,broken-hearted,adj,negative
931,brood,verb,negative
932,brook,verb,positive
933,brotherly,adj,positive
934,browbeat,verb,negative
935,bruise,noun,negative
936,brusque,adj,negative
937,brutal,adj,negative
938,brutalising,adj,negative
939,brutalising,noun,negative
940,brutalities,anypos,negative
941,brutalities,noun,negative
942,brutality,noun,negative
943,brutalize,verb,negative
944,brutalizing,adj,negative
945,brutally,anypos,negative
946,brute,noun,negative
947,brutish,adj,negative
948,bug,verb,negative
949,buckle,verb,negative
950,bulky,adj,negative
951,bull,adj,positive
952,bull,noun,positive
953,bullies,adj,negative
954,bullies,noun,negative
955,bullish,adj,positive
956,bullish,noun,positive
957,bully,adj,negative
958,bully,noun,negative
959,bullyingly,anypos,negative
960,bum,noun,negative
961,bumpy,adj,negative
962,bungle,verb,negative
963,bungler,anypos,negative
964,bunk,noun,negative
965,buoyant,adj,positive
966,burden,adj,negative
967,burden,noun,negative
968,burdensome,adj,negative
969,burdensome,anypos,negative
970,burdensomely,anypos,negative
971,burn,verb,negative
972,busy,adj,negative
973,busybody,noun,negative
974,butcher,verb,negative
975,butchery,noun,negative
976,byzantine,adj,negative
977,cackle,verb,negative
978,cajole,verb,negative
979,calamities,noun,negative
980,calamitous,adj,negative
981,calamitously,anypos,negative
982,calamity,anypos,negative
983,calamity,noun,negative
984,callous,adj,negative
985,calm,adj,positive
986,calm,verb,positive
987,calming,anypos,positive
988,calmness,noun,positive
989,calumniate,verb,negative
990,calumniation,noun,negative
991,calumnies,noun,negative
992,calumnious,adj,negative
993,calumniously,anypos,negative
994,calumny,noun,negative
995,cancer,noun,negative
996,cancerous,adj,negative
997,candid,adj,positive
998,candor,noun,positive
999,cannibal,noun,negative
1000,cannibalize,verb,negative
1001,capable,adj,positive
1002,capability,noun,positive
1003,capably,adj,positive
1004,capitalize,verb,positive
1005,capitulate,verb,negative
1006,capricious,adj,negative
1007,capriciously,anypos,negative
1008,capriciousness,noun,negative
1009,capsize,verb,negative
1010,captivate,verb,positive
1011,captivating,adj,positive
1012,captivation,noun,positive
1013,captive,adj,negative
1014,care,verb,positive
1015,carefree,adj,positive
1016,careful,adj,positive
1017,careless,adj,negative
1018,carelessness,noun,negative
1019,caricature,verb,negative
1020,carnage,noun,negative
1021,carp,verb,negative
1022,cartoon,adj,negative
1023,cartoon,noun,negative
1024,cartoonish,anypos,negative
1025,cash-strapped,adj,negative
1026,castigate,verb,negative
1027,casualty,noun,negative
1028,cataclysm,noun,negative
1029,cataclysmal,adj,negative
1030,cataclysmic,adj,negative
1031,cataclysmically,anypos,negative
1032,catalyst,adj,positive
1033,catalyst,noun,positive
1034,catastrophe,anypos,negative
1035,catastrophe,noun,negative
1036,catastrophes,noun,negative
1037,catastrophic,adj,negative
1038,catastrophic,anypos,negative
1039,catastrophically,anypos,negative
1040,catchy,adj,positive
1041,caustic,adj,negative
1042,caustically,anypos,negative
1043,cautionary,adj,negative
1044,cautious,adj,negative
1045,cave,verb,negative
1046,ceaseless,adj,neutral
1047,celebrate,verb,positive
1048,celebrated,adj,positive
1049,celebration,noun,positive
1050,celebratory,anypos,positive
1051,celebrity,noun,positive
1052,censure,adj,negative
1053,censure,noun,negative
1054,censure,verb,negative
1055,central,adj,neutral
1056,certain,anypos,neutral
1057,certainly,anypos,neutral
1058,certified,adj,neutral
1059,chafe,verb,negative
1060,chaff,verb,negative
1061,chagrin,noun,negative
1062,chagrin,verb,negative
1063,challenge,noun,negative
1064,challenge,verb,negative
1065,challenging,adj,negative
1066,champion,adj,positive
1067,champion,anypos,positive
1068,champ,noun,positive
1069,champion,noun,positive
1070,chant,adj,neutral
1071,chant,noun,neutral
1072,chaos,noun,negative
1073,chaotic,adj,negative
1074,charisma,noun,negative
1075,charismatic,adj,positive
1076,charitable,adj,positive
1077,charitable,noun,positive
1078,charity,noun,positive
1079,charm,adj,positive
1080,charm,noun,positive
1081,charm,verb,positive
1082,charming,adj,positive
1083,charming,anypos,positive
1084,charmingly,adj,positive
1085,chaste,adj,positive
1086,chasten,verb,negative
1087,chastise,verb,negative
1088,chastisement,anypos,negative
1089,chatter,verb,negative
1090,chatterbox,anypos,negative
1091,cheapen,verb,negative
1092,cheap,adj,negative
1093,cheat,noun,negative
1094,cheat,verb,negative
1095,cheater,anypos,negative
1096,cheer,noun,positive
1097,cheer,verb,positive
1098,cheery,adj,positive
1099,cheerful,adj,positive
1100,cheerless,adj,negative
1101,cherish,verb,positive
1102,cherished,adj,positive
1103,cherub,noun,positive
1104,chic,adj,positive
1105,chide,verb,negative
1106,childish,adj,negative
1107,chill,verb,negative
1108,chilly,adj,negative
1109,chit,anypos,negative
1110,chivalry,noun,positive
1111,chivalrous,adj,positive
